Threshold,Num_Features,Accuracy,Precision,Recall,F1,ROC_AUC
0.0045522675,47,0.7709090909090909,0.7849046883049974,0.7543946521416192,0.7693473046332534,0.8562804890629372
0.005444589,46,0.7710344827586207,0.7868809955924293,0.7514236197078484,0.7687436676798379,0.8560305127144487
0.0055741705,45,0.7732915360501568,0.7860989997435239,0.7588512007922753,0.7722348198538675,0.8565410645595686
0.0057759834,44,0.7732915360501568,0.786392811296534,0.7583560287199802,0.7721199899168136,0.8569076944405865
0.0058625606,43,0.7678996865203762,0.7805128205128206,0.7536518940331766,0.7668472099760676,0.8550839804789481
0.005892885,42,0.7760501567398119,0.7901107391192377,0.759593958900718,0.7745518808381721,0.8556318023256984
0.005999766,41,0.7740438871473354,0.7877540519680988,0.7581084426838326,0.7726469846076204,0.8568887291992504
0.006174064,40,0.7732915360501568,0.788914788914789,0.7541470661054717,0.7711392405063292,0.856888477587425
0.0062642666,39,0.7759247648902822,0.7906556530717604,0.7583560287199802,0.7741690888411475,0.8580042187754757
0.006323501,38,0.7745454545454545,0.7909633861334718,0.7541470661054717,0.7721166032953105,0.8569238605003653
0.0064185457,37,0.7771786833855799,0.7931570762052877,0.7576132706115375,0.7749778396859567,0.858931188191555
0.0064767236,36,0.7776802507836991,0.7935233160621762,0.7583560287199802,0.7755412077478162,0.8576396017890607
0.006491629,35,0.7776802507836991,0.7959770114942529,0.7543946521416192,0.774628193720605,0.858159368917284
0.006579113,34,0.776551724137931,0.7933454639979205,0.755632582322357,0.7740299264519401,0.8583453100562201
0.006618822,33,0.7769278996865204,0.7958115183246073,0.7526615498885862,0.7736353225601221,0.8574870935714185
0.0067600003,32,0.7786833855799373,0.7962480458572173,0.7566229264669473,0.77592992255935,0.858106939303176
0.0068841623,31,0.7755485893416928,0.7930675006515507,0.753404307997029,0.7727272727272728,0.8567860715745063
0.007466439,30,0.7790595611285267,0.7979586495681759,0.7548898242139144,0.7758269720101781,0.8576458920846947
0.00756994,29,0.7744200626959248,0.7910602910602911,0.7536518940331766,0.7719031317357676,0.8562276820310912
0.007652886,28,0.7747962382445142,0.7928963175763907,0.751671205743996,0.7717336044738179,0.856045232006232
0.007827971,27,0.775423197492163,0.7922516900676027,0.7543946521416192,0.7728598604946101,0.8562992026924479
0.007889517,26,0.7768025078369906,0.7968462549277266,0.7506808615994058,0.773074961754207,0.855966980728547
0.007892366,25,0.7770532915360502,0.7985212569316081,0.7487001733102253,0.7728085867620752,0.8583691188251942
0.007908025,24,0.7773040752351097,0.800053036329886,0.7469670710571924,0.7725992317541613,0.8585410640563449
0.0080514075,23,0.7778056426332288,0.8017034868245941,0.7457291408764546,0.7727039507439715,0.8588545094877786
0.0080690235,22,0.778307210031348,0.7985800683670786,0.7519187917801436,0.7745473093598572,0.858510933540259
0.008574083,21,0.7770532915360502,0.7989949748743719,0.7479574152017826,0.7726342710997443,0.8578559250559081
0.008601659,20,0.7761755485893417,0.8002131060202451,0.7437484525872741,0.7709482869241626,0.8556781303530416
0.008692678,19,0.7724137931034483,0.7921702574881766,0.7464718989848973,0.768642447418738,0.8548887611539523
0.008700458,18,0.772539184952978,0.7937681542117772,0.7442436246595692,0.7682085356503962,0.852656177976115
0.008886708,17,0.7741692789968652,0.7957188160676533,0.745481554840307,0.7697814137798797,0.8534243488789184
0.010128867,16,0.773166144200627,0.7955991516436903,0.7430056944788314,0.7684035334784278,0.8524835722639226
0.010274047,15,0.7729153605015674,0.7936215076436479,0.745481554840307,0.768798672283927,0.8512847677220273
0.010813527,14,0.7711598746081505,0.790703781512605,0.745481554840307,0.7674270421817255,0.8517913252294198
0.011000705,13,0.772539184952978,0.7967457988797012,0.7395394899727655,0.7670775552131485,0.8504522156434117
0.012532843,12,0.7710344827586207,0.7943602021814312,0.7392919039366179,0.765837394203642,0.850952608661083
0.014747122,11,0.7715360501567398,0.7982243744955609,0.7345877692498143,0.7650850954100051,0.8495555969037655
0.014993922,10,0.7705329153605016,0.7913479293062516,0.7427581084426839,0.7662835249042146,0.846873729360282
0.01532192,9,0.769153605015674,0.7927543953116676,0.7368160435751424,0.7637623508276659,0.846354811421969
0.018973151,8,0.7630094043887148,0.7869158878504673,0.729636048526863,0.7571942446043165,0.8433821435113336
0.027280098,7,0.7645141065830721,0.7836702546600157,0.7390443179004704,0.7607033639143731,0.8399149640094445
0.027557565,6,0.7647648902821317,0.7845303867403315,0.7383015597920277,0.7607142857142857,0.8379204685213476
0.029013162,5,0.7643887147335423,0.7827225130890052,0.7402822480812082,0.7609110573864359,0.8370290078241214
0.035934873,4,0.7429467084639498,0.7278350515463917,0.7865808368408022,0.7560685387910518,0.802345072534657
0.042961553,3,0.740564263322884,0.7288568773234201,0.7766773953948998,0.7520076711015222,0.773699663796279
0.16081543,2,0.7430721003134796,0.7235955056179775,0.7972270363951474,0.7586288137589822,0.7490972167706327
0.33977503,1,0.721128526645768,0.716949557733684,0.7425105224065363,0.7295062028703477,0.7208487571382275
