Threshold,Num_Features,Accuracy,Precision,Recall,F1,ROC_AUC
0.0011841775088822443,47,0.7709090909090909,0.7849046883049974,0.7543946521416192,0.7693473046332534,0.8562804890629372
0.0015421363979404037,46,0.773667711598746,0.7874420998455995,0.7576132706115375,0.7722397476340693,0.8565694966958335
0.0015584618228990143,45,0.77141065830721,0.7846865364850977,0.7561277543946522,0.770142478880343,0.8553620115459635
0.0015845850404445118,44,0.7712852664576803,0.7856590147020892,0.7541470661054717,0.7695805962607377,0.8556648892807324
0.0019417175254037972,43,0.7711598746081505,0.7848687596500258,0.7551374102500619,0.7697160883280756,0.8561524815467888
0.001987770079057363,42,0.7719122257053291,0.7862300154718928,0.7548898242139144,0.7702412529998737,0.8549289875945305
0.002129273853989782,41,0.7730407523510971,0.7870203450939995,0.7566229264669473,0.7715223428427165,0.8563270057991493
0.0023112876329263185,40,0.7745454545454545,0.7884169884169884,0.7583560287199802,0.7730943967693084,0.8555321954943367
0.0023310448860478067,39,0.7730407523510971,0.7843837713702475,0.7610794751176033,0.7725559185725056,0.855396325108646
0.002376775168631866,38,0.7730407523510971,0.7851112816577129,0.7598415449368655,0.7722697533970809,0.8561987781226537
0.0024104246894177117,37,0.7730407523510971,0.7861360718870347,0.7581084426838326,0.7718679102596421,0.856373774147187
0.0025377354192165414,36,0.7737931034482759,0.7866119517825083,0.7593463728645704,0.7727387251196776,0.8547989671837795
0.0026798200701574864,35,0.7735423197492163,0.788277820810741,0.7558801683585046,0.7717391304347827,0.8557057447508741
0.0028273350119002,34,0.7707836990595611,0.7852903225806451,0.753404307997029,0.7690169320192065,0.8540759291521487
0.0030694872629657456,33,0.7696551724137931,0.784349173553719,0.7519187917801436,0.7677916824674504,0.8539959794946426
0.003112240207021129,32,0.7768025078369906,0.7942172440739776,0.7548898242139144,0.7740543285097741,0.8548786966809381
0.003211169571012173,31,0.7715360501567398,0.7871017871017871,0.7524139638524387,0.769367088607595,0.8527380461737893
0.004012282106557892,30,0.77141065830721,0.7863049095607235,0.753404307997029,0.7695030977367555,0.8541611941094653
0.004679326596033686,29,0.7705329153605016,0.7854742827604032,0.7524139638524387,0.7685887708649469,0.8532420246599718
0.006792605923603973,28,0.7692789968652037,0.7809864554050601,0.7566229264669473,0.7686116700201208,0.8525037326614291
0.007014488618978006,27,0.7676489028213166,0.783160621761658,0.7484525872740777,0.7654133434611976,0.851876558735258
0.0073557391580777514,26,0.7699059561128526,0.7837281153450052,0.7536518940331766,0.7683958096680551,0.8512750806667512
0.008988276641064873,25,0.7695297805642634,0.7847347994825355,0.7509284476355533,0.7674595141700405,0.8502230916249494
0.009369950985722717,24,0.7699059561128526,0.7846074380165289,0.7521663778162911,0.7680444950069522,0.852470425546048
0.009854997695293211,23,0.7667711598746082,0.7823270277273905,0.7474622431294875,0.7644973410990125,0.8506309229423689
0.0105332723811079,22,0.7694043887147335,0.7833590932509016,0.7529091359247339,0.7678323444009594,0.8520471515528476
0.011126491232708924,21,0.766896551724138,0.7825298081907724,0.7474622431294875,0.7645941496770926,0.8506420882171188
0.012891734920592524,20,0.766896551724138,0.7803497942386831,0.7511760336717009,0.7654850510912073,0.8497792169135481
0.013725166478375272,19,0.7689028213166145,0.7847510373443983,0.7491953453825204,0.7665611146295123,0.8507714795983068
0.013781014639804487,18,0.7653918495297806,0.7783769902413971,0.7504332755632582,0.7641497541913527,0.8480105430387059
0.014830498600870748,17,0.7640125391849529,0.7803483233688588,0.743253280514979,0.7613492264773015,0.8457272915295382
0.015034872278955828,16,0.7631347962382445,0.7782091097308489,0.7444912106957168,0.760976844236366,0.8422540418923625
0.01640066115594676,15,0.7621316614420063,0.7751798561151079,0.7469670710571924,0.7608120035304501,0.8425644994333702
0.017091801738329283,14,0.7642633228840126,0.7787245029692744,0.7467194850210448,0.7623862487360971,0.8418230937384888
0.01745001070738122,13,0.762257053291536,0.7795460474823898,0.7397870760089131,0.7591463414634145,0.8415732431959131
0.019455740310265188,12,0.7598746081504703,0.7748447204968945,0.7412725922257984,0.7576869543211439,0.8411416031095195
0.020659918291708528,11,0.7610031347962383,0.7797010228166797,0.7360732854666997,0.7572592969943963,0.8374977921062325
0.026485235673263063,10,0.7571159874608151,0.7734131113423517,0.7360732854666997,0.7542813649625777,0.8371395597698859
0.03205922937799567,9,0.753730407523511,0.7701119500130175,0.7323594949244863,0.750761421319797,0.832802243672969
0.04543020534490067,8,0.74858934169279,0.767209668943773,0.722951225550879,0.744423199490121,0.826758559079463
0.06269825607282936,7,0.7473354231974921,0.7701548318206086,0.7142857142857143,0.7411689145793191,0.8143291236158834
0.06331633862044299,6,0.7107210031347962,0.7274159663865546,0.6858133201287447,0.7060022938702689,0.7732302190331262
0.0673878376565036,5,0.6722257053291536,0.673992673992674,0.6833374597672691,0.6786328989427095,0.7296690725789408
0.09591730402842809,4,0.6733542319749216,0.6774752475247525,0.6776429809358753,0.6775591038494864,0.7314073643258716
0.10656307153282507,3,0.6713479623824451,0.6776942355889725,0.6694726417430057,0.6735583509777058,0.7303789638926966
0.10833723694970938,2,0.6687147335423197,0.6795168337188383,0.6546174795741521,0.6668348045397225,0.7299267859910586
0.11196099213380947,1,0.5591222570532915,0.5575104464482076,0.6276306016340678,0.5904961565338924,0.5793994767983704
