Model,Accuracy,Precision,Recall,F1
Logistic Regression (Lasso),0.571877180739707,0.5828961175236097,0.7200259235255995,0.6442447086111917
SVC (Linear),0.5760642009769714,0.5841889117043121,0.7375243033052495,0.6519621884846748
SVC (RBF),0.6120027913468249,0.6196557468073293,0.7232663642255347,0.6674641148325359
Random Forest Classifier (n=100),0.6245638520586183,0.6419452887537994,0.6843810758263124,0.6624843161856964
XGBoost Classifier (n=100),0.6210746685275645,0.6399265156154317,0.6772521062864549,0.6580604534005038
Gradient Boosting Classifier (n=100),0.6273551988834613,0.6402835203780272,0.7025275437459495,0.6699629171817059
