Model,Accuracy,Precision,Recall,F1,ROC AUC
LogisticRegression (Lasso),0.5722260990928123,0.5826812728221179,0.7239144523655218,0.6456647398843931,0.5944545601058886
SVC (Linear),0.5750174459176552,0.5821952453211937,0.745949449125081,0.6539772727272727,0.59361444585035
SVC (RBF),0.6018841591067691,0.6101973684210527,0.7213220998055736,0.6611226611226612,0.6380920050024763
RandomForestClassifier (n=100),0.6214235868806699,0.6417079207920792,0.6720674011665586,0.6565368787591009,0.6814494934576408
XGBClassifier (n=100),0.6259595254710397,0.6480201131363922,0.6681788723266364,0.6579451180599873,0.6780687071400894
GradientBoostingClassifier (n=100),0.6290997906489881,0.6416765053128689,0.7044718081659106,0.6716095149830089,0.6865737005538876
