Model,Accuracy,Precision,Recall,F1
Logistic Regression (Lasso),0.5837404047452897,0.593816631130064,0.7210355987055016,0.6512715580239696
SVC (Linear),0.5882763433356595,0.5954997383568812,0.7365695792880259,0.6585648148148149
SVC (RBF),0.6092114445219818,0.616822429906542,0.7262135922330097,0.667063020214031
Random Forest Classifier (n=100),0.624214933705513,0.6451612903225806,0.6731391585760518,0.6588533417801711
XGBoost Classifier (n=100),0.6371249127704117,0.658307210031348,0.6796116504854369,0.6687898089171974
Gradient Boosting Classifier (n=100),0.6399162595952547,0.6509711595055915,0.7158576051779936,0.6818742293464858
