Model,Accuracy,Precision,Recall,F1
LogisticRegression (Lasso),0.5722260990928123,0.5825951016154247,0.7245625405055087,0.6458694396302715
SVC (Linear),0.5746685275645499,0.5819838056680162,0.7453013609850939,0.65359477124183
SVC (RBF),0.604675505931612,0.6114130434782609,0.729099157485418,0.6650901566656813
RandomForestClassifier (n=100),0.6263084438241452,0.6460396039603961,0.6766040181464679,0.6609686609686609
XGBClassifier (n=100),0.633635729239358,0.6537741734248285,0.679196370706416,0.66624284806103
GradientBoostingClassifier (n=100),0.6290997906489881,0.6416765053128689,0.7044718081659106,0.6716095149830089
